congress,start_year,end_year,president_party,senate_majority_party,house_majority_party
59,1905,1907,R,R,R
60,1907,1909,R,R,R
61,1909,1911,R,R,R
62,1911,1913,R,R,D
63,1913,1915,D,D,D
64,1915,1917,D,D,D
65,1917,1919,D,D,D
66,1919,1921,D,R,R
67,1921,1923,R,R,R
68,1923,1925,R,R,R
69,1925,1927,R,R,R
70,1927,1929,R,R,R
71,1929,1931,R,R,R
72,1931,1933,R,R,D
73,1933,1935,D,D,D
74,1935,1937,D,D,D
75,1937,1939,D,D,D
76,1939,1941,D,D,D
77,1941,1943,D,D,D
78,1943,1945,D,D,D
79,1945,1947,D,D,D
80,1947,1949,D,R,R
81,1949,1951,D,D,D
82,1951,1953,D,D,D
83,1953,1955,R,R,R
84,1955,1957,R,D,D
85,1957,1959,R,D,D
86,1959,1961,R,D,D
87,1961,1963,D,D,D
88,1963,1965,D,D,D
89,1965,1967,D,D,D
90,1967,1969,D,D,D
91,1969,1971,R,D,D
92,1971,1973,R,D,D
93,1973,1975,R,D,D
94,1975,1977,R,D,D
95,1977,1979,D,D,D
96,1979,1981,D,D,D
97,1981,1983,R,R,D
98,1983,1985,R,R,D
99,1985,1987,R,R,D
100,1987,1989,R,D,D
101,1989,1991,R,D,D
102,1991,1993,R,D,D
103,1993,1995,D,D,D
104,1995,1997,D,R,R
105,1997,1999,D,R,R
106,1999,2001,D,R,R
107,2001,2003,R,R,R
108,2003,2005,R,R,R
109,2005,2007,R,R,R
110,2007,2009,R,D,D
111,2009,2011,D,D,D
