cycle,winner_candidate,winner_party,loser_candidate,loser_party
1896,McKinley,Republican,Bryan,Democratic
1900,McKinley,Republican,Bryan,Democratic
1904,Roosevelt,Republican,Parker,Democratic
1908,Taft,Republican,Bryan,Democratic
1912,Wilson,Democratic,Roosevelt,Progressive
1916,Wilson,Democratic,Hughes,Republican
1920,Harding,Republican,Cox,Democratic
1924,Coolidge,Republican,Davis,Democratic
1928,Hoover,Republican,Smith,Democratic
1932,Roosevelt,Democratic,Hoover,Republican
1936,Roosevelt,Democratic,Landon,Republican
1940,Roosevelt,Democratic,Willkie,Republican
1944,Roosevelt,Democratic,Dewey,Republican
1948,Truman,Democratic,Dewey,Republican
1952,Eisenhower,Republican,Stevenson,Democratic
1956,Eisenhower,Republican,Stevenson,Democratic
1960,Kennedy,Democratic,Nixon,Republican
1964,Johnson,Democratic,Goldwater,Republican
1968,Nixon,Republican,Humphrey,Democratic
1972,Nixon,Republican,McGovern,Democratic
1976,Carter,Democratic,Ford,Republican
1980,Reagan,Republican,Carter,Democratic
1984,Reagan,Republican,Mondale,Democratic
1988,Bush,Republican,Dukakis,Democratic
1992,Clinton,Democratic,Bush,Republican
1996,Clinton,Democratic,Dole,Republican
2000,Bush,Republican,Gore,Democratic
2004,Bush,Republican,Kerry,Democratic
2008,Obama,Democratic,McCain,Republican
